confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.1,3.0,240,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,3.0,240,giou,13.0,216.56603773584905,5,15.154425068808955
0.1,0.1,5.0,30,diou,5.0,197.06666666666666,3,15.244535988641868
0.1,0.1,5.0,30,giou,14.0,218.51851851851853,6,15.134284476981573
0.1,0.1,5.0,60,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,5.0,60,giou,12.0,214.51923076923077,4,15.135180630918036
0.1,0.1,5.0,90,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,5.0,90,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,5.0,120,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,5.0,120,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,5.0,180,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,5.0,180,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.1,5.0,240,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,5.0,240,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.1,10.0,30,diou,5.0,197.06666666666666,3,15.244535988641868
0.1,0.1,10.0,30,giou,14.0,218.51851851851853,6,15.134284476981573
0.1,0.1,10.0,60,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,10.0,60,giou,12.0,214.51923076923077,4,15.135180630918036
0.1,0.1,10.0,90,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,10.0,90,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,10.0,120,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,10.0,120,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,10.0,180,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,10.0,180,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.1,10.0,240,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,10.0,240,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.1,20.0,30,diou,5.0,197.06666666666666,3,15.244535988641868
0.1,0.1,20.0,30,giou,14.0,218.51851851851853,6,15.134284476981573
0.1,0.1,20.0,60,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,20.0,60,giou,12.0,214.51923076923077,4,15.135180630918036
0.1,0.1,20.0,90,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,20.0,90,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,20.0,120,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,20.0,120,giou,12.0,214.55769230769232,4,15.139662425897956
0.1,0.1,20.0,180,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,20.0,180,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.1,20.0,240,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,20.0,240,giou,13.0,216.60377358490567,5,15.144120956912614
0.1,0.2,1.0,30,diou,11.0,212.11764705882354,6,15.195151560112112
0.1,0.2,1.0,30,giou,21.0,233.92063492063494,12,15.077920475582339
0.1,0.2,1.0,60,diou,9.0,207.6326530612245,3,15.191057704510776
0.1,0.2,1.0,60,giou,19.0,231.11475409836066,8,15.061199838603878
0.1,0.2,1.0,90,diou,9.0,207.6122448979592,3,15.193060385998914
0.1,0.2,1.0,90,giou,19.0,231.11475409836066,8,15.061199838603878
0.1,0.2,1.0,120,diou,9.0,207.6122448979592,3,15.193060385998914
0.1,0.2,1.0,120,giou,19.0,231.11475409836066,8,15.061199838603878
0.1,0.2,1.0,180,diou,9.0,207.6530612244898,3,15.197511911849547
0.1,0.2,1.0,180,giou,19.0,231.08196721311475,8,15.056803738285556
0.1,0.2,1.0,240,diou,9.0,207.6530612244898,3,15.197511911849547
0.1,0.2,1.0,240,giou,19.0,231.08196721311475,8,15.056803738285556
0.1,0.2,3.0,30,diou,11.0,212.078431372549,5,15.193114546286257
0.1,0.2,3.0,30,giou,21.0,233.88888888888889,12,15.076001244258881
0.1,0.2,3.0,60,diou,9.0,207.59183673469386,3,15.189020690684918
